round_id,round_name,category,table,entry_name,members,nationality,status,source,source_url,snapshot_date
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,27,Julie Cassata,Julie Cassata,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,28,Kaitlyn McCluskie,Kaitlyn McCluskie,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,29,Katie Heinlein,Katie Heinlein,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,30,Kayleen Cardoza,Kayleen Cardoza,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,31,Keili Tucker,Keili Tucker,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,32,Kelly Walter,Kelly Walter,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,33,Kindra Lynch,Kindra Lynch,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,34,Krystine Casner,Krystine Casner,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,35,Kyle Kossin,Kyle Kossin,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,36,Lauren Turner,Lauren Turner,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,37,Linnea Nasman,Linnea Nasman,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,38,Lori Nussbaum,Lori Nussbaum,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,39,Luis Diaz,Luis Diaz,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
